,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,age_group,gender,personal_status,performance
117,1,10,4,2,2132,5,2,2,2,2,3,1,27,3,1,2,3,1,1,2,2,2,2,0
956,3,30,4,3,3656,5,5,4,3,1,4,2,49,2,2,2,2,1,1,1,3,1,1,0
529,1,6,2,0,662,1,2,3,3,1,4,1,41,3,2,1,2,2,2,1,3,1,1,0
55,4,6,1,0,783,5,3,1,3,3,2,1,26,2,2,1,2,2,1,1,2,1,1,0
158,2,24,2,0,3512,2,4,2,3,1,3,3,38,1,2,2,3,1,2,1,2,1,1,0
437,4,24,4,0,1287,4,5,4,2,1,4,1,37,3,2,2,3,1,2,1,2,2,2,0
290,4,12,2,9,1076,1,3,2,4,1,2,1,26,3,2,1,3,1,2,2,2,1,2,0
760,4,15,4,0,5045,5,5,1,2,1,4,3,59,3,2,1,3,1,2,1,3,2,2,0
701,1,48,4,1,6331,1,5,4,3,1,4,4,46,3,3,2,3,1,2,1,3,1,1,1
219,4,10,2,0,1364,1,3,2,2,1,4,3,64,3,2,1,3,1,2,1,4,2,2,0
765,2,12,2,3,1155,1,5,3,4,3,3,1,40,1,2,2,2,1,1,1,3,1,2,0
903,4,15,2,3,1386,5,3,4,4,1,2,1,40,3,1,1,3,1,2,1,3,1,2,0
471,1,6,2,6,448,1,2,4,2,1,4,2,23,3,2,1,3,1,1,1,1,2,2,1
350,4,9,2,4,1236,1,2,1,2,1,4,1,23,3,1,1,3,1,2,1,1,2,2,0
252,2,30,2,0,2150,1,3,4,2,3,2,4,24,1,2,1,3,1,1,1,1,2,2,1
707,2,12,0,2,2969,1,2,4,2,1,3,2,25,3,1,2,3,1,1,1,2,2,2,1
75,1,12,4,1,1526,1,5,4,3,1,4,4,66,3,3,2,4,1,1,1,4,1,1,0
191,2,48,0,9,3844,2,4,4,3,1,4,4,34,3,3,1,2,2,1,1,2,1,1,1
786,4,22,2,3,2675,3,5,3,3,1,4,3,40,3,2,1,3,1,1,1,3,1,1,0
569,1,48,2,3,6758,1,3,3,2,1,2,3,31,3,2,1,3,1,2,1,2,2,2,1
837,4,4,2,2,601,1,2,1,2,1,3,1,23,3,1,1,2,2,1,1,1,2,2,0
978,4,24,3,0,2538,1,5,4,3,1,4,3,47,3,2,2,2,2,1,1,3,1,1,1
976,2,6,2,3,753,1,3,2,2,3,3,1,64,3,2,1,3,1,1,1,4,2,2,0
717,4,18,2,3,1505,1,3,4,3,1,2,4,32,3,3,1,4,1,2,1,2,1,1,0
54,2,36,3,0,2225,1,5,4,3,1,4,4,57,1,3,2,3,1,2,1,3,1,1,1
680,4,6,2,6,1538,1,2,1,2,1,2,4,56,3,2,1,3,1,1,1,3,2,2,0
24,4,10,4,2,2069,5,3,2,4,1,1,3,26,3,2,2,3,1,1,2,2,1,2,0
304,4,48,4,0,10127,3,3,2,3,1,2,4,44,1,3,1,3,1,1,1,3,1,1,1
935,2,30,3,3,1919,2,2,4,3,1,3,4,30,2,2,2,4,1,1,1,2,1,1,1
500,1,24,2,0,3123,1,2,4,2,1,1,2,27,3,2,1,3,1,1,1,2,2,2,1
461,1,15,2,0,1721,1,2,2,3,1,3,1,36,3,2,1,3,1,1,1,2,1,1,0
417,1,18,3,6,8471,5,3,1,2,1,2,3,23,3,1,2,3,1,2,1,1,2,2,0
793,3,24,2,2,2892,1,5,3,1,1,4,4,51,3,3,1,3,1,1,1,3,1,2,0
6,4,24,2,2,2835,3,5,3,3,1,4,2,53,3,2,1,3,1,1,1,3,1,1,0
906,1,21,2,0,3763,5,4,2,3,2,2,1,24,3,2,1,2,1,1,2,1,1,1,0
884,2,24,2,2,4057,1,4,3,1,1,3,3,43,3,2,1,3,1,2,1,3,1,2,1
426,4,28,4,3,2743,1,5,4,3,1,2,3,29,3,2,2,3,1,1,1,2,1,1,0
983,1,36,2,1,8229,1,3,2,3,1,2,2,26,3,2,1,3,2,1,1,2,1,1,1
923,2,12,2,0,2002,1,4,3,3,1,4,2,30,3,1,1,3,2,2,1,2,1,1,0
163,2,10,2,0,7308,1,1,2,3,1,4,4,70,1,3,1,4,1,2,1,4,1,1,0
676,4,24,4,2,5150,1,5,4,3,1,4,3,33,3,2,1,3,1,2,1,2,1,1,0
852,4,15,4,3,1471,1,3,4,3,1,4,4,35,3,3,2,3,1,2,1,2,1,1,0
28,2,7,2,3,2415,1,3,3,3,3,2,1,34,3,2,1,3,1,1,1,2,1,1,0
862,1,24,2,3,2439,1,2,4,2,1,4,1,35,3,2,1,3,1,2,1,2,2,2,1
572,4,24,2,1,5433,5,1,2,2,1,4,2,26,3,1,1,4,1,2,1,2,2,2,0
549,4,48,4,1,8858,5,4,2,3,1,1,4,35,3,3,2,3,1,2,1,2,1,1,0
878,1,9,2,0,1422,1,2,3,3,1,2,4,27,3,3,1,4,1,2,1,2,1,1,1
634,2,24,2,0,1355,1,2,3,2,1,4,3,25,3,2,1,2,1,2,1,2,2,2,1
933,4,12,4,3,522,3,5,4,3,1,4,2,42,3,2,2,3,2,2,1,3,1,1,0
361,3,12,2,3,3399,5,5,2,3,1,3,3,37,3,2,1,4,1,1,1,2,1,1,0
436,4,6,2,5,660,3,4,2,4,1,4,1,23,3,1,1,2,1,1,1,1,1,2,0
734,4,4,4,0,3380,1,4,1,2,1,1,1,37,3,2,1,3,2,1,1,2,2,2,0
917,1,6,2,0,14896,1,5,1,3,1,4,4,68,1,2,1,4,1,2,1,4,1,1,1
528,1,36,2,3,2302,1,3,4,1,1,4,3,31,3,1,1,3,1,1,1,2,1,2,1
709,2,9,2,3,2118,1,3,2,3,1,2,1,37,3,2,1,2,2,1,1,2,1,1,0
969,1,11,4,0,3939,1,3,1,3,1,2,1,40,3,2,2,2,2,1,1,3,1,1,0
736,2,24,2,1,11560,1,3,1,2,1,4,3,23,3,1,2,4,1,1,1,1,2,2,1
485,2,6,3,0,1209,1,1,4,3,1,4,2,47,3,2,1,4,1,2,1,3,1,1,1
57,4,36,4,3,9566,1,3,2,2,1,2,3,31,2,2,2,3,1,1,1,2,2,2,0
